cycle;time;mode;cc/cv;voltage;current;temperature;cumul.Ah;cumul.Wh;DCresistance
0;0;OFF;CV;3.867;0.02;65497.000;0.0000;0.000;0.00
0;2;OFF;CV;3.867;0.02;65497.000;0.0000;0.000;0.00
cycle;time;mode;cc/cv;voltage;current;temperature;cumul.Ah;cumul.Wh;DCresistance
0;0;OFF;CV;3.867;0.02;65496.000;0.0000;0.000;0.00
0;4;CHA;CC;3.883;7.07;65483.000;0.0020;0.008;0.00
0;5;CHA;CC;3.886;7.69;65483.000;0.0041;0.016;0.00
0;6;CHA;CC;3.889;8.25;65483.000;0.0064;0.025;0.00
0;7;CHA;CC;3.891;8.75;65483.000;0.0088;0.034;0.00
0;8;CHA;CC;3.895;9.91;65483.000;0.0116;0.045;0.00
0;9;CHA;CC;3.899;10.96;65482.000;0.0146;0.057;0.00
0;10;CHA;CC;3.902;11.55;65482.000;0.0178;0.069;0.00
0;11;CHA;CC;3.904;11.65;65482.000;0.0211;0.082;0.00
0;12;CHA;CC;3.905;11.52;65482.000;0.0243;0.095;0.00
0;13;CHA;CC;3.906;11.35;65483.000;0.0274;0.107;0.00
0;14;CHA;CC;3.907;11.26;65482.000;0.0305;0.119;0.00
0;15;CHA;CC;3.908;11.21;65483.000;0.0337;0.131;0.00
0;16;CHA;CC;3.909;11.21;65483.000;0.0368;0.143;0.00
0;17;CHA;CC;3.910;11.21;65483.000;0.0399;0.156;0.00
0;18;CHA;CC;3.911;11.25;65483.000;0.0430;0.168;0.00
0;19;CHA;CC;3.912;11.25;65483.000;0.0461;0.180;0.00
0;20;CHA;CC;3.913;11.26;65483.000;0.0493;0.192;0.00
0;21;CHA;CC;3.913;11.26;65483.000;0.0524;0.205;0.00
0;22;CHA;CC;3.914;11.25;65483.000;0.0555;0.217;0.00
0;23;CHA;CC;3.915;11.26;65483.000;0.0586;0.229;0.00
0;24;CHA;CC;3.916;11.25;65483.000;0.0618;0.241;0.00
0;25;CHA;CC;3.917;11.27;65483.000;0.0649;0.254;0.00
0;26;CHA;CC;3.917;11.25;65484.000;0.0680;0.266;0.00
0;27;CHA;CC;3.918;11.24;65483.000;0.0712;0.278;0.00
0;28;CHA;CC;3.918;11.25;65483.000;0.0743;0.290;0.00
0;29;CHA;CC;3.919;11.25;65484.000;0.0774;0.302;0.00
0;30;CHA;CC;3.920;11.25;65483.000;0.0805;0.315;0.00
0;31;CHA;CC;3.921;11.25;65484.000;0.0837;0.327;0.00
0;32;CHA;CC;3.921;11.25;65483.000;0.0868;0.339;0.00
0;33;CHA;CC;3.922;11.26;65484.000;0.0899;0.352;0.00
0;34;CHA;CC;3.923;11.24;65484.000;0.0930;0.364;0.00
0;35;CHA;CC;3.923;11.24;65483.000;0.0962;0.376;0.00
0;36;CHA;CC;3.924;11.26;65483.000;0.0993;0.388;0.00
0;37;CHA;CC;3.924;11.25;65483.000;0.1024;0.401;0.00
0;38;CHA;CC;3.925;11.25;65483.000;0.1055;0.413;0.00
0;39;CHA;CC;3.926;11.26;65483.000;0.1087;0.425;0.00
0;40;CHA;CC;3.926;11.24;65483.000;0.1118;0.437;0.00
0;41;CHA;CC;3.927;11.25;65483.000;0.1149;0.450;0.00
0;42;CHA;CC;3.927;11.23;65483.000;0.1180;0.462;0.00
